,sub,r2_actual_vs_model,r2_actual_vs_avg,r2_model_increase_from_avg,pmc_actual_vs_model,pmc_actual_vs_avg
57,1538.0,-0.2622524301799356,-0.07813142323263778,-0.18412100694729783,"PearsonRResult(statistic=-0.19427165787885345, pvalue=0.4709311053044154)","PearsonRResult(statistic=nan, pvalue=nan)"
58,1553.0,-0.11727536494060575,-0.4198044659735347,0.30252910103292896,"PearsonRResult(statistic=0.35623763507240996, pvalue=0.28223672422638335)","PearsonRResult(statistic=nan, pvalue=nan)"
59,1563.0,-0.1023791652607875,-0.0005713315217392712,-0.10180783373904823,"PearsonRResult(statistic=-0.08673140280278058, pvalue=0.824416078510557)","PearsonRResult(statistic=nan, pvalue=nan)"
60,1564.0,-4.095800745191502,-4.095800745191502,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
61,1573.0,-0.6552391842274721,-0.7722681359044998,0.11702895167702776,"PearsonRResult(statistic=0.23236311882945795, pvalue=0.3864899566623231)","PearsonRResult(statistic=nan, pvalue=nan)"
62,1597.0,0.0,0.0,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
63,1616.0,-0.09555080745534639,-5.105494421276283,5.009943613820937,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
64,1617.0,-1.3509723140799519,-1.3509723140799519,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
65,1619.0,0.0,0.0,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
66,1629.0,-0.09422087124780165,-1.2561839671578272,1.1619630959100256,"PearsonRResult(statistic=0.24246800241378566, pvalue=0.42477645962680355)","PearsonRResult(statistic=nan, pvalue=nan)"
67,1633.0,-0.31714865211137444,-0.021584024234693855,-0.2955646278766806,"PearsonRResult(statistic=0.30894775953379505, pvalue=0.3043751664414939)","PearsonRResult(statistic=nan, pvalue=nan)"
68,1638.0,-0.4459076350415512,-0.4459076350415512,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
69,1639.0,-0.09483556253501635,-0.09483556253501635,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
70,1641.0,-2.902606310013718,-2.902606310013718,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
71,1646.0,0.0,0.0,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
72,1663.0,-0.5157605931221398,-1.8829191569676,1.3671585638454602,"PearsonRResult(statistic=-0.24729886554380226, pvalue=0.3557927985085527)","PearsonRResult(statistic=nan, pvalue=nan)"
73,1674.0,-0.7551967428623483,-0.11940298507462721,-0.6357937577877211,"PearsonRResult(statistic=-0.21774562612318868, pvalue=0.40116256036845094)","PearsonRResult(statistic=nan, pvalue=nan)"
74,1682.0,-0.1901687327823689,-0.1901687327823689,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
75,1697.0,-0.033452360451915686,-0.06035502958579886,0.026902669133883172,"PearsonRResult(statistic=0.18928230379657007, pvalue=0.48261677164952255)","PearsonRResult(statistic=nan, pvalue=nan)"
76,1699.0,-0.34482915717539875,-0.34482915717539875,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
77,1709.0,-0.42448314880308846,-0.1268378319069572,-0.2976453168961313,"PearsonRResult(statistic=-0.15075421150905374, pvalue=0.5917533657086661)","PearsonRResult(statistic=nan, pvalue=nan)"
