,sub,r2_actual_vs_model,r2_actual_vs_avg,r2_model_increase_from_avg
0,1.0,,,
1,13.0,-0.7732005068689649,-1.0616274079123436,0.28842690104337865
2,14.0,-0.15615987024307532,-0.01061987872828607,-0.14553999151478925
3,29.0,-1.0835953185692446,-0.006564000342935472,-1.0770313182263092
4,44.0,-0.3887377395520373,-0.6606722380795467,0.2719344985275094
5,60.0,-0.9885437186256825,-0.30713348800119644,-0.681410230624486
6,71.0,-1.553117995710672,-0.008371687840290187,-1.5447463078703818
7,73.0,-0.2935322284368431,-0.023809523809523725,-0.2697227046273194
8,82.0,,,
9,94.0,-19.33024862202478,-11.408333333333324,-7.921915288691455
10,95.0,-0.009650217254434157,-0.06696478690570729,0.05731456965127313
11,100.0,,,
12,105.0,-0.46465455981799075,-0.22778704144830764,-0.23686751836968312
13,127.0,,,
14,140.0,-1.7258486439577339,-0.6510416666666667,-1.0748069772910671
15,1117.0,-0.45891078197179613,-0.012071391101149409,-0.4468393908706467
16,1132.0,-0.8088125109972233,-0.1354248046874995,-0.6733877063097238
17,1136.0,-2.050852038630577,-3.7499999999999165,1.6991479613693397
18,1160.0,-4.399179610993905,-4.399179610993905,0.0
19,1173.0,-2.8071667283640065,-2.6529157045243115,-0.15425102383969502
20,1191.0,,,
21,1202.0,-9.126666666666663,-9.126666666666663,0.0
22,1203.0,-12.10357897856029,-9.921571430482267,-2.1820075480780226
23,1206.0,,,
24,1207.0,,,
25,1238.0,-11.093809531833635,-6.074999999999995,-5.01880953183364
26,1240.0,-1.7605076327006053,-0.31485312291679723,-1.445654509783808
27,1243.0,-8.692160256455383,-4.028935185185198,-4.663225071270184
28,1261.0,,,
29,1264.0,-0.09081805015366795,-0.001721865010336776,-0.08909618514333117
30,1269.0,-1.3960017194766223,-0.0021058820293478053,-1.3938958374472745
31,1271.0,-0.08468259820250434,-0.1083569253415162,0.023674327139011853
32,1272.0,-0.8438242837645162,-0.49362664473684115,-0.3501976390276751
33,1283.0,,,
34,1284.0,-0.11317726397496108,-0.030454782636195166,-0.08272248133876592
35,1305.0,0.12535883751534393,-0.4132231404958673,0.5385819780112112
36,1308.0,-0.8738978680786222,-0.3748662450096598,-0.4990316230689624
37,1313.0,-0.29294690473818963,-0.40960000000000063,0.116653095261811
38,1319.0,-3.1807231959447835,-0.13656144453104724,-3.0441617514137365
39,1323.0,-0.3916742166108931,-0.08785291852736776,-0.3038212980835253
40,1335.0,,,
41,1336.0,,,
42,1338.0,-0.00185411143851133,-0.3466629771238581,0.34480886568534674
43,1341.0,-2.4091821232558015,-3.514462809917367,1.1052806866615654
44,1348.0,-0.3175582336689826,-0.9215196165341166,0.603961382865134
45,1349.0,-0.6464240045365275,-0.5073051948051948,-0.13911880973133273
46,1355.0,,,
47,1358.0,-1.0539498108236565,-0.5720296670176839,-0.4819201438059726
48,1382.0,-0.7222848036774829,-1.2207031249999991,0.4984183213225162
49,1399.0,-0.5647777727051797,-0.4783222581062334,-0.08645551459894629
50,1401.0,,,
51,1402.0,-643.6897178468404,-0.09765625000000044,-643.5920615968404
52,1404.0,,,
53,1414.0,-0.056638006319665424,-0.006701173531419302,-0.04993683278824612
54,1426.0,-5.447061346027165,-5.188023949633747,-0.25903739639341783
55,1430.0,,,
56,1431.0,,,
57,1442.0,-0.5936816715942315,-0.46879040369088854,-0.12489126790334293
58,1687.0,-0.062068017050555424,-0.4696320270395382,0.4075640099889828
59,1688.0,-0.09252929642370677,-0.009792827298050089,-0.08273646912565669
60,1689.0,,,
61,1692.0,-0.04335767210774355,-0.0568489697145087,0.013491297606765151
62,1693.0,-1.963928380061346,-0.9772557519539824,-0.9866726281073637
63,1697.0,-0.19808655291715094,-0.001870024845475493,-0.19621652807167544
64,1710.0,-0.22051685688049472,-0.22051685688049472,0.0
65,1715.0,-0.7401373244861902,-0.3892252485930747,-0.35091207589311546
66,1716.0,-0.7238042487144749,-0.05007550447158593,-0.673728744242889
67,1721.0,-0.11027186644441889,-0.03354452489837412,-0.07672734154604477
68,1725.0,-0.11837348831421934,-0.00522371967454438,-0.11314976863967496
69,1726.0,,,
70,1727.0,-0.09073233408710646,-0.13975556167792846,0.049023227590822005
71,1730.0,,,
72,1732.0,-0.40312596504154663,-0.2232142857142856,-0.17991167932726104
73,1735.0,,,
74,1736.0,-0.7085050897139484,-0.507929104477612,-0.20057598523633646
75,1737.0,-1.2786218970799723,-1.2786218970799723,0.0
76,1740.0,,,
77,1742.0,-2.138861290875696,-1.1328217575923696,-1.0060395332833263
78,1743.0,-0.017636082977149803,-1.0832476662901107,1.065611583312961
79,1746.0,-0.14153745345874968,-0.14153745345874968,0.0
80,1747.0,-3.8828486545941763,-0.8124500030767332,-3.070398651517443
81,1749.0,-1.2988007402292343,-0.3606201799485862,-0.9381805602806481
82,1752.0,-4.210550972647648,-4.761319693153064,0.5507687205054159
83,1753.0,-0.07714262515793968,-0.03002660208052088,-0.0471160230774188
84,1755.0,,,
85,1756.0,0.33723096021778265,-0.01682698699710161,0.35405794721488426
86,1757.0,-0.21058705177738335,-0.12074961360123648,-0.08983743817614687
87,1758.0,,,
88,1759.0,-8.640082122314627,-7.283100535312229,-1.356981587002398
89,1760.0,-7.952594952044816,-2.222617354196295,-5.729977597848521
90,1763.0,-0.5371223435554655,-0.0034457780819823203,-0.5336765654734832
91,1765.0,-0.6744959105960711,-0.5514847392312476,-0.12301117136482342
92,1766.0,-0.13433829465890756,-0.8655559039793901,0.7312176093204825
93,1767.0,-0.9132834790941897,-0.15065536341322705,-0.7626281156809627
94,1769.0,-1.7690109611137093,-3.249999999999999,1.4809890388862899
