,sub,r2_actual_vs_model,r2_actual_vs_avg,r2_model_increase_from_avg,pmc_actual_vs_model,pmc_actual_vs_avg
27,1314.0,-0.06170124464204263,-0.1271704160250149,0.06546917138297226,"PearsonRResult(statistic=0.14941652879080017, pvalue=0.5950837974640754)","PearsonRResult(statistic=nan, pvalue=nan)"
28,1318.0,-7.06263575161178e+30,-5.542492337011502e+31,4.8362287618503235e+31,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
29,1341.0,-1.935892602331537,-0.6782979381998273,-1.2575946641317097,"PearsonRResult(statistic=-0.04479166878539056, pvalue=0.8844764340102707)","PearsonRResult(statistic=nan, pvalue=nan)"
30,1343.0,-19.456914827285207,-19.456914827285207,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
31,1349.0,-3.96353547364249,-3.96353547364249,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
32,1356.0,-0.9859670199074135,-0.000272478041078994,-0.9856945418663345,"PearsonRResult(statistic=-0.024875735873440455, pvalue=0.9271391901696493)","PearsonRResult(statistic=nan, pvalue=nan)"
33,1374.0,-1.525603957766092,-1.0666666666666669,-0.45893729109942516,"PearsonRResult(statistic=-0.4100653498557403, pvalue=0.11467677460636114)","PearsonRResult(statistic=nan, pvalue=nan)"
34,1390.0,0.0,0.0,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
35,1421.0,-3.932241288618598,-6.50892857142857,2.5766872828099725,"PearsonRResult(statistic=-0.1515554736273884, pvalue=0.5752749354816985)","PearsonRResult(statistic=nan, pvalue=nan)"
36,1426.0,0.0,0.0,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
37,1444.0,-0.00034722222222249854,-0.00034722222222249854,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
38,1447.0,0.0,0.0,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
39,1452.0,0.0,0.0,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
40,1454.0,-1.6129721390746954,-0.00015190386173391524,-1.6128202352129615,"PearsonRResult(statistic=0.11313006992594496, pvalue=0.7405047341467917)","PearsonRResult(statistic=nan, pvalue=nan)"
41,1455.0,-0.4322150537407552,-0.43983624932988974,0.007621195589134544,"PearsonRResult(statistic=-0.6176538395481794, pvalue=0.010786871325333802)","PearsonRResult(statistic=nan, pvalue=nan)"
42,1466.0,0.0,0.0,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
43,1467.0,-1.0372908731560004e+32,-4.4212337010684835e+31,-5.951675030491521e+31,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
44,1471.0,-1.03479993948195,-1.0493725531379123,0.014572613655962297,"PearsonRResult(statistic=-0.5258108738582697, pvalue=0.0534591744636075)","PearsonRResult(statistic=nan, pvalue=nan)"
45,1481.0,-0.587020863632743,-0.04432613439988953,-0.5426947292328534,"PearsonRResult(statistic=-0.3067274471425185, pvalue=0.24788202883223753)","PearsonRResult(statistic=nan, pvalue=nan)"
46,1488.0,0.05230709628277008,-0.6860851283628189,0.738392224645589,"PearsonRResult(statistic=0.3631088386698656, pvalue=0.24600178975766568)","PearsonRResult(statistic=nan, pvalue=nan)"
47,1494.0,-1.467740624535913e+32,-3.801816646835801e+31,-1.0875589598523329e+32,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
48,1496.0,-1.518341183190309,-0.8909090909090902,-0.6274320922812189,"PearsonRResult(statistic=-0.46050032255603945, pvalue=0.07265183008061929)","PearsonRResult(statistic=nan, pvalue=nan)"
49,1497.0,-0.4413814642650924,-0.8282846304086526,0.38690316614356024,"PearsonRResult(statistic=-0.14695541740736123, pvalue=0.6012307805640166)","PearsonRResult(statistic=nan, pvalue=nan)"
50,1504.0,-0.6979920023573527,-0.2562108876901674,-0.4417811146671853,"PearsonRResult(statistic=0.20770523019302056, pvalue=0.4761341059860182)","PearsonRResult(statistic=nan, pvalue=nan)"
51,1505.0,-0.07340951862210088,-0.07340951862210088,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
52,1506.0,-0.512249745390223,-0.512249745390223,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
53,1508.0,-1.4947055826558162,-0.8722867095280427,-0.6224188731277736,"PearsonRResult(statistic=0.1604814389092036, pvalue=0.5677658503067237)","PearsonRResult(statistic=nan, pvalue=nan)"
54,1521.0,-0.12523181154910357,-0.408976276901293,0.28374446535218945,"PearsonRResult(statistic=0.02044159769056908, pvalue=0.9401026869787127)","PearsonRResult(statistic=nan, pvalue=nan)"
55,1527.0,-0.40959999999999974,-0.40959999999999974,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
56,1534.0,-0.4270851308320882,-0.04563030663566092,-0.3814548241964273,"PearsonRResult(statistic=-0.21421011108569007, pvalue=0.5523313406724054)","PearsonRResult(statistic=nan, pvalue=nan)"
57,1538.0,-0.2622524301799356,-0.07813142323263778,-0.18412100694729783,"PearsonRResult(statistic=-0.19427165787885345, pvalue=0.4709311053044154)","PearsonRResult(statistic=nan, pvalue=nan)"
58,1553.0,-0.11727536494060575,-0.4198044659735347,0.30252910103292896,"PearsonRResult(statistic=0.35623763507240996, pvalue=0.28223672422638335)","PearsonRResult(statistic=nan, pvalue=nan)"
